feature,lasso_coefficient,kept
_SolventAccessibilityC1,-0.11044416431683442,True
_HydrophobicityC3,-0.10773708468704711,True
APAAC11,-0.10605598201896461,True
MoranAuto_FreeEnergy4,-0.0987395069359133,True
QSOSW23,0.08502145304170408,True
QSOgrant20,0.06723142995246013,True
_SolventAccessibilityD2075,-0.05383609149432756,True
HE,-0.052538810718354735,True
CY,-0.049961037189918456,True
_PolarizabilityD2100,-0.0478069440237695,True
QSOSW11,0.044466443630891236,True
KK,0.04416167179689767,True
SP,-0.04051639419120102,True
QK,0.039556030995976,True
AP,0.036954646023924016,True
GearyAuto_ResidueVol7,-0.036509399334924836,True
_ChargeT12,0.03511345967259027,True
SL,-0.03361390774810301,True
_NormalizedVDWVD2025,0.03348176167313552,True
MoreauBrotoAuto_ResidueASA11,0.027995268947430447,True
KP,0.026423799597657973,True
GQ,0.02504054898534833,True
IW,-0.02458879043198777,True
GearyAuto_FreeEnergy9,-0.023445580508235423,True
DI,0.02313298674188101,True
MoranAuto_Steric3,0.02284811064580232,True
MC,0.022439953719769923,True
IY,0.022326632782937852,True
WA,0.02074929091722975,True
HT,0.019251774140546036,True
_PolarityC3,0.018723934739658256,True
PK,-0.017965483781787972,True
YA,-0.017364792859112285,True
FH,-0.017215824821214244,True
DL,0.016767380951893434,True
GW,0.016556980461406936,True
MoreauBrotoAuto_FreeEnergy11,-0.01615049832117455,True
QSOgrant2,-0.015239001609733118,True
MoranAuto_Steric8,0.014816326895256988,True
LC,0.014655761072348927,True
MoreauBrotoAuto_Steric4,0.014313611869322306,True
DG,0.01423905099569042,True
MoranAuto_Hydrophobicity6,0.013430550090305086,True
IK,0.013168581693446047,True
MoreauBrotoAuto_ResidueVol29,0.013088861634359085,True
ET,-0.012572151445282741,True
PG,0.011789304650500529,True
_ChargeT23,0.011551387579850168,True
MoranAuto_ResidueVol6,0.010885044951292451,True
_ChargeT13,0.01073422213760356,True
IG,-0.01066987497602412,True
QN,-0.010338467000168638,True
NW,-0.009838786167375503,True
II,0.009435304527024851,True
TL,-0.008999913059169175,True
QSOSW1,0.007730687192316385,True
CC,0.007317612579761718,True
GearyAuto_Polarizability3,0.007029783444173471,True
GG,0.006794608033436026,True
PE,0.006769238778020777,True
GearyAuto_Polarizability8,-0.006461473765049147,True
MoreauBrotoAuto_Hydrophobicity11,-0.006439801466547766,True
KW,0.005955057664559285,True
NQ,-0.004593567135190796,True
QSOgrant5,-0.0033726115943590058,True
CD,0.0032630411168286092,True
MA,-0.003223599856290934,True
KD,0.0026030722540377636,True
RP,0.0022128426140225464,True
RI,0.0018390932848029967,True
VY,0.0018171489553696235,True
_SecondaryStrD3025,-0.0015539609550676663,True
GearyAuto_FreeEnergy8,-0.00122196906023161,True
QSOgrant18,0.0010892715009919558,True
_PolarityD3025,-0.0007771361413088705,True
HP,0.0007286828506896299,True
TK,-0.0007281082680035104,True
APAAC12,0.0006985265527132271,True
_HydrophobicityD1075,-1.1261576963151268e-05,True
MoranAuto_Steric30,0.0,False
MoranAuto_Steric6,0.0,False
MoranAuto_Steric4,-0.0,False
MoranAuto_Steric2,-0.0,False
MoranAuto_Steric1,-0.0,False
MoranAuto_ResidueVol10,0.0,False
MoranAuto_ResidueVol8,0.0,False
MoranAuto_ResidueVol3,-0.0,False
MoranAuto_ResidueASA6,0.0,False
MoranAuto_ResidueVol27,-0.0,False
MoranAuto_Mutability2,-0.0,False
MoranAuto_Mutability7,0.0,False
GearyAuto_Hydrophobicity5,-0.0,False
GearyAuto_Hydrophobicity9,-0.0,False
GearyAuto_AvFlexibility1,0.0,False
GearyAuto_AvFlexibility3,-0.0,False
GearyAuto_Polarizability1,0.0,False
GearyAuto_FreeEnergy3,0.0,False
GearyAuto_FreeEnergy5,0.0,False
GearyAuto_ResidueASA2,0.0,False
GearyAuto_ResidueASA3,0.0,False
GearyAuto_ResidueASA5,0.0,False
GearyAuto_ResidueVol1,0.0,False
GearyAuto_ResidueVol3,0.0,False
MoranAuto_Mutability3,0.0,False
MoreauBrotoAuto_Polarizability8,0.0,False
MoreauBrotoAuto_Polarizability10,0.0,False
MoreauBrotoAuto_Polarizability29,0.0,False
MoreauBrotoAuto_FreeEnergy4,0.0,False
MoreauBrotoAuto_FreeEnergy5,0.0,False
MoreauBrotoAuto_FreeEnergy6,0.0,False
MoreauBrotoAuto_FreeEnergy9,0.0,False
MoreauBrotoAuto_FreeEnergy10,-0.0,False
MoreauBrotoAuto_FreeEnergy30,-0.0,False
MoreauBrotoAuto_ResidueASA8,0.0,False
MoreauBrotoAuto_ResidueASA9,-0.0,False
MoreauBrotoAuto_ResidueVol11,0.0,False
MoreauBrotoAuto_ResidueVol30,0.0,False
MoranAuto_ResidueASA3,0.0,False
MoreauBrotoAuto_Steric8,-0.0,False
MoreauBrotoAuto_Steric10,-0.0,False
MoreauBrotoAuto_Steric11,-0.0,False
MoreauBrotoAuto_Steric28,0.0,False
MoreauBrotoAuto_Steric29,0.0,False
MoreauBrotoAuto_Mutability8,-0.0,False
MoranAuto_Hydrophobicity1,-0.0,False
MoranAuto_Hydrophobicity7,-0.0,False
MoranAuto_AvFlexibility3,0.0,False
MoranAuto_FreeEnergy3,-0.0,False
MoranAuto_FreeEnergy29,-0.0,False
GearyAuto_Mutability3,-0.0,False
MoranAuto_ResidueASA4,-0.0,False
MoreauBrotoAuto_Steric7,0.0,False
EK,0.0,False
EM,0.0,False
_PolarityD2100,-0.0,False
APAAC8,-0.0,False
APAAC18,0.0,False
APAAC23,0.0,False
APAAC24,0.0,False
APAAC27,-0.0,False
APAAC31,-0.0,False
APAAC33,-0.0,False
APAAC37,-0.0,False
APAAC41,-0.0,False
_SecondaryStrC1,-0.0,False
NP,0.0,False
DR,0.0,False
QSOSW28,-0.0,False
QSOgrant1,0.0,False
AC,0.0,False
QSOgrant3,0.0,False
QSOgrant4,-0.0,False
AR,0.0,False
QSOgrant6,0.0,False
QSOgrant7,-0.0,False
QSOgrant12,-0.0,False
QSOgrant13,-0.0,False
QSOgrant15,0.0,False
APAAC44,-0.0,False
GearyAuto_Mutability4,0.0,False
_PolarizabilityC3,0.0,False
MoreauBrotoAuto_Polarizability3,0.0,False
_SecondaryStrT12,0.0,False
_SolventAccessibilityD1100,0.0,False
_SolventAccessibilityD3075,-0.0,False
_SolventAccessibilityD3100,-0.0,False
_SecondaryStrD1100,-0.0,False
_SecondaryStrD2050,0.0,False
_SecondaryStrD2100,0.0,False
_ChargeD1075,-0.0,False
_ChargeD2100,0.0,False
_ChargeD3075,-0.0,False
EL,0.0,False
_PolarityD1100,0.0,False
RW,0.0,False
RV,0.0,False
NH,0.0,False
NI,0.0,False
NK,-0.0,False
C,-0.0,False
R,0.0,False
QSOSW12,-0.0,False
QSOSW19,0.0,False
CV,-0.0,False
ED,-0.0,False
EG,0.0,False
_ChargeD3100,-0.0,False
HG,-0.0,False
HF,-0.0,False
HW,0.0,False
IR,0.0,False
ID,-0.0,False
LR,0.0,False
LN,0.0,False
LD,-0.0,False
LE,0.0,False
LL,-0.0,False
LT,0.0,False
KR,0.0,False
KH,-0.0,False
MoreauBrotoAuto_AvFlexibility9,-0.0,False
DK,0.0,False
DP,0.0,False
DT,-0.0,False
DY,0.0,False
CA,0.0,False
CL,-0.0,False
CF,-0.0,False
CP,0.0,False
CT,0.0,False
KF,0.0,False
KT,-0.0,False
MQ,0.0,False
MH,0.0,False
DH,0.0,False
AM,0.0,False
AS,0.0,False
AW,-0.0,False
AV,-0.0,False
RR,-0.0,False
NF,-0.0,False
QSOgrant17,0.0,False
W,0.0,False
APAAC1,0.0,False
APAAC2,0.0,False
RK,-0.0,False
RF,0.0,False
RT,0.0,False
HD,-0.0,False
_PolarityD3050,0.0,False
_NormalizedVDWVD1100,-0.0,False
_NormalizedVDWVD2100,-0.0,False
_HydrophobicityD3100,0.0,False
tausw8,-0.0,False
QSOSW2,-0.0,False
QSOSW6,0.0,False
QSOSW7,0.0,False
QSOSW9,0.0,False
RN,0.0,False
RD,0.0,False
RC,-0.0,False
RH,-0.0,False
DQ,-0.0,False
HR,-0.0,False
HN,0.0,False
TD,0.0,False
TV,0.0,False
WR,0.0,False
WG,0.0,False
WM,-0.0,False
WF,0.0,False
WP,0.0,False
WS,-0.0,False
WV,-0.0,False
YE,0.0,False
YF,0.0,False
MI,-0.0,False
YV,-0.0,False
VR,0.0,False
VN,0.0,False
VD,-0.0,False
VE,0.0,False
VQ,-0.0,False
VV,0.0,False
MoreauBrotoAuto_Hydrophobicity7,-0.0,False
MoreauBrotoAuto_Hydrophobicity8,-0.0,False
MoreauBrotoAuto_Hydrophobicity10,0.0,False
MoreauBrotoAuto_AvFlexibility3,-0.0,False
AA,0.0,False
MoreauBrotoAuto_AvFlexibility11,-0.0,False
YP,-0.0,False
MF,0.0,False
FR,0.0,False
FE,-0.0,False
FP,-0.0,False
FW,0.0,False
FV,0.0,False
PR,0.0,False
PC,-0.0,False
PF,0.0,False
PS,-0.0,False
SR,0.0,False
SC,0.0,False
SQ,0.0,False
GT,-0.0,False
SM,-0.0,False
SF,0.0,False
SS,-0.0,False
SY,0.0,False
TR,0.0,False
EP,0.0,False
QR,0.0,False
QC,0.0,False
QG,-0.0,False
QI,-0.0,False
QL,0.0,False
QW,0.0,False
GR,-0.0,False
GC,-0.0,False
SG,-0.0,False
