feature,lasso_coefficient,kept
_HydrophobicityC3,-0.12647911806729317,True
QSOSW24,0.10483127902654635,True
APAAC11,-0.09865305229970901,True
_SolventAccessibilityC1,-0.07515860005228275,True
_HydrophobicityD1075,-0.0697791569352623,True
AI,-0.05190873489657879,True
TI,-0.050765694582744145,True
FL,-0.047446143048539224,True
_ChargeT13,0.046627212409244057,True
QK,0.04619009606415674,True
GearyAuto_Hydrophobicity6,-0.04255876036978135,True
_SecondaryStrD3100,-0.040273057042304904,True
KK,0.03855485654874341,True
GearyAuto_Polarizability3,0.03525850289235589,True
LI,-0.03264654274908337,True
IF,-0.03136292433287518,True
HT,0.028873607051038544,True
AP,0.02870936599868207,True
VK,0.028675195943774667,True
taugrant8,-0.02697187581830974,True
_PolarizabilityD2025,0.026910259070067884,True
_HydrophobicityC1,0.02658147015430257,True
LP,0.026447363127391918,True
MoranAuto_AvFlexibility1,-0.0260749443528912,True
tausw11,-0.02588731988912893,True
SL,-0.02525333458844092,True
LV,-0.022898901244489556,True
GW,0.02155996952181764,True
CF,-0.0208302743697496,True
DI,0.01987996949175648,True
APAAC4,0.018079701451190103,True
ML,-0.016535614065126346,True
NW,-0.016187830808362655,True
IY,0.01599433918134188,True
QSOSW18,0.015124126206938442,True
PG,0.014238315936663309,True
LC,0.014080698347223182,True
IQ,0.01389818960298721,True
MoreauBrotoAuto_Polarizability11,0.013617038453844993,True
MoreauBrotoAuto_FreeEnergy11,-0.013024751217592025,True
MoreauBrotoAuto_Steric4,0.013001901194799955,True
LH,0.011890012126308674,True
SN,-0.011675375800719515,True
SP,-0.011516074521762043,True
CG,-0.011190840041461281,True
HI,-0.0111160902130792,True
GearyAuto_FreeEnergy8,-0.010677017074435921,True
GearyAuto_FreeEnergy7,-0.010490022538249722,True
HC,0.009909473167974081,True
HM,-0.008664110335275336,True
MoreauBrotoAuto_ResidueASA11,0.00784710108633635,True
QSOSW11,0.007030619482164987,True
KW,0.006323226706917835,True
MoranAuto_Steric4,-0.0059331302108120605,True
GearyAuto_ResidueVol7,-0.005459460404204347,True
LR,0.005439056137091152,True
MP,0.0053149465022840495,True
IK,0.004953729584980497,True
CN,0.004874544323162447,True
RY,-0.004834712412706911,True
QSOgrant2,-0.004470714320611494,True
PV,0.004261801368579384,True
CS,-0.0041919252844950525,True
MoreauBrotoAuto_Hydrophobicity11,-0.0037399822376729436,True
TA,0.0032758269508500882,True
MoranAuto_Hydrophobicity4,-0.0031315397115227054,True
HE,-0.0028392939677224557,True
ET,-0.002816145690066068,True
HH,-0.002683694919847144,True
_NormalizedVDWVD2050,-0.002644383510977585,True
_PolarityC3,0.0016102854292738748,True
VR,0.0007885589761332165,True
WT,0.0007520625738664287,True
SY,0.00030757901046466146,True
MoranAuto_Mutability1,-3.4906759158580146e-07,True
MoranAuto_ResidueASA3,0.0,False
MoranAuto_FreeEnergy15,-0.0,False
MoranAuto_ResidueASA4,0.0,False
MoranAuto_ResidueASA6,0.0,False
MoranAuto_Steric5,-0.0,False
MoranAuto_ResidueVol3,-0.0,False
MoranAuto_ResidueVol6,0.0,False
MoreauBrotoAuto_Polarizability29,0.0,False
MoranAuto_Steric3,0.0,False
MoranAuto_ResidueVol8,0.0,False
MoranAuto_Steric2,-0.0,False
MoranAuto_Steric1,-0.0,False
MoranAuto_ResidueVol10,0.0,False
NM,0.0,False
MoreauBrotoAuto_ResidueASA3,0.0,False
MoreauBrotoAuto_ResidueASA8,0.0,False
MoreauBrotoAuto_ResidueASA9,-0.0,False
MoreauBrotoAuto_ResidueASA29,0.0,False
MoreauBrotoAuto_ResidueVol11,0.0,False
MoreauBrotoAuto_ResidueVol28,0.0,False
MoreauBrotoAuto_Steric8,-0.0,False
MoreauBrotoAuto_FreeEnergy9,-0.0,False
MoreauBrotoAuto_Steric9,-0.0,False
MoreauBrotoAuto_Steric10,-0.0,False
